item_id,title,price,currency_id,condition,available_quantity,seller_id,seller_reputation,location,url
MLA1919533810,Auriculares Jbl Intraurales Con Cable Tune 310c Usb-c Negro,34999,ARS,new,484,1530116762,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1919533810-auriculares-jbl-intraurales-con-cable-tune-310c-usb-c-negro-_JM
MLA1422152591,Auriculares Manos Libres Para Samsung 100% Originales,10914,ARS,new,886,162278948,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1422152591-auriculares-manos-libres-para-samsung-100-originales-_JM
MLA1290995916,Auriculares Samsung 3.5mm Earphones In Ear Negro Ia500,12499,ARS,new,14112,577646081,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1290995916-auriculares-samsung-35mm-earphones-in-ear-negro-ia500-_JM
MLA1404273137,Auriculares Sony Super Bass Color Negro,40698,ARS,new,224,247639927,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1404273137-auriculares-sony-super-bass-color-negro-_JM
MLA1592259292,Auriculares Soul S389 Manos Libres Micrófono Celular 3.5mm Color Negro,3560.0,ARS,new,137,51303810,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1592259292-auriculares-soul-s389-manos-libres-microfono-celular-35mm-color-negro-_JM
MLA1469328015,Auriculares In-ear Samsung Tuned By Akg Eo-ig955 Black,24526,ARS,new,43,636146938,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1469328015-auriculares-in-ear-samsung-tuned-by-akg-eo-ig955-black-_JM
MLA1746648390,Auriculares Inalambricos Samsung Galaxy Buds Fe Color Graphite 30hs,139999,ARS,new,200,1673359714,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1746648390-auriculares-inalambricos-samsung-galaxy-buds-fe-color-graphite-30hs-_JM
MLA1470429571,"Reloj Inteligente Samsung Fit 3 Dark Gray Pantalla Amoled 1,6  Bateria 13 Días Ritmo Cardiaco 256mb Bluetooth 5.3",84999,ARS,new,98,262582139,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1470429571-reloj-inteligente-samsung-fit-3-dark-gray-pantalla-amoled-16-bateria-13-dias-ritmo-cardiaco-256mb-bluetooth-53-_JM
MLA1993332052,Auriculares Samsung Galaxy Buds 3 Pro Gray Ai,414999,ARS,new,6,1673359714,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1993332052-auriculares-samsung-galaxy-buds-3-pro-gray-ai-_JM
MLA1880488224,Auriculares Qcy Pro Manos Libres Bluetooth Samsung LG Sony Color Negro,25999,ARS,new,10024,37133205,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1880488224-auriculares-qcy-pro-manos-libres-bluetooth-samsung-lg-sony-color-negro-_JM
MLA1972300196,Auriculares In-ear Samsung Akg  Eo-ic100 Eo-ic100bbegww Negro,24000,ARS,new,91,5846919,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1972300196-auriculares-in-ear-samsung-akg-eo-ic100-eo-ic100bbegww-negro-_JM
MLA1470413571,Auriculares Bluetooth F9 Tws 4hs De Musica + Power Bank Color Blanco,7650,ARS,new,246,261534699,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1470413571-auriculares-bluetooth-f9-tws-4hs-de-musica-power-bank-color-blanco-_JM
MLA1746634774,Auriculares Samsung Galaxy Buds2 Pro  Sm-r510 Anc Bluetooth 5.3 Ipx7 Color Graphite,239999,ARS,new,137,1673359714,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1746634774-auriculares-samsung-galaxy-buds2-pro-sm-r510-anc-bluetooth-53-ipx7-color-graphite-_JM
MLA1414032483,Auricular De Cable Con Micrófono Manos Libres Para Samsung ,7999,ARS,new,407,1573355060,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1414032483-auricular-de-cable-con-microfono-manos-libres-para-samsung-_JM
MLA1576249438,Auriculares Inalambricos Para iPhone/samsung - Sport J92,39780,ARS,new,436,1416601148,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1576249438-auriculares-inalambricos-para-iphonesamsung-sport-j92-_JM
MLA1438769891,Auriculares In-ear Qkz Ak6 Pro Microfono Color Verde Cable Desmontable,39999,ARS,new,24,1294871881,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1438769891-auriculares-in-ear-qkz-ak6-pro-microfono-color-verde-cable-desmontable-_JM
MLA1470449387,Samsung Galaxy Fit3 Pink Gold 1.6 Amoled Caja Blanco Malla Rosa Bisel Rosa Diseño De La Malla Sport,114999,ARS,new,65,172753273,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1470449387-samsung-galaxy-fit3-pink-gold-16-amoled-caja-blanco-malla-rosa-bisel-rosa-diseno-de-la-malla-sport-_JM
MLA1972772854,Auriculares In-ear Para Samsung A14 A24 A04e A12 A04 A11 A13,8990,ARS,new,234,420301340,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1972772854-auriculares-in-ear-para-samsung-a14-a24-a04e-a12-a04-a11-a13-_JM
MLA1147599339,Auricular Inalambrico Bluetooth 5.0 Xaea  Motorola Samsung ,56000,ARS,new,335,292238139,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1147599339-auricular-inalambrico-bluetooth-50-xaea-motorola-samsung-_JM
MLA1975409942,Auriculares Inalámbricos Bluetooth Soul Hero Beats Bt400 Color Negro,25222,ARS,new,60,62264510,No Reputation,Entre Ríos,https://articulo.mercadolibre.com.ar/MLA-1975409942-auriculares-inalambricos-bluetooth-soul-hero-beats-bt400-color-negro-_JM
MLA1688439846,Auriculares Inalambricos Compatibles Con iPhone Xiaom Samsun,29990,ARS,new,777,1093572823,No Reputation,Córdoba,https://articulo.mercadolibre.com.ar/MLA-1688439846-auriculares-inalambricos-compatibles-con-iphone-xiaom-samsun-_JM
MLA1642612184,Auricular Inalámbrico Samsung Galaxy Buds Fe Grafito,228999,ARS,new,178,287440338,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1642612184-auricular-inalambrico-samsung-galaxy-buds-fe-grafito-_JM
MLA2004492688,Auricular Inalámbrico Samsung Galaxy Buds 3 Pro Gray Ai,440999,ARS,new,52,172753273,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-2004492688-auricular-inalambrico-samsung-galaxy-buds-3-pro-gray-ai-_JM
MLA1457608029,Auriculares Stereo Usb Tipo C Compatible Con Samsung Moto Color Negro,4704,ARS,new,59,2064115616,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1457608029-auriculares-stereo-usb-tipo-c-compatible-con-samsung-moto-color-negro-_JM
MLA1473750973,Auriculares Baseus Encok H06 3.5mm Cableado Color Negro,19990,ARS,new,1,284824585,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1473750973-auriculares-baseus-encok-h06-35mm-cableado-color-negro-_JM
MLA1432474611,Auriculares Manos Libres Usb Tipo C Para Samsung S23+ Otros,9890,ARS,new,120,32212593,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1432474611-auriculares-manos-libres-usb-tipo-c-para-samsung-s23-otros-_JM
MLA1951597928,Auriculares In-ear Inalámbricos Samsung Galaxy  Buds+ Sm-r175nz Negro Con Luz Led,195340,ARS,new,3,47756131,No Reputation,Santa Fe,https://articulo.mercadolibre.com.ar/MLA-1951597928-auriculares-in-ear-inalambricos-samsung-galaxy-buds-sm-r175nz-negro-con-luz-led-_JM
MLA1751895114,Auriculares Samsung Galaxy Buds2 Pro Anc Bluetooth 5.3 Ipx7 Color White,297000.0,ARS,new,69,146480022,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1751895114-auriculares-samsung-galaxy-buds2-pro-anc-bluetooth-53-ipx7-color-white-_JM
MLA1429456807,"Auriculares Intraurales Samsung Ehs61asfwe, Color Negro",3341,ARS,new,1471,250338078,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1429456807-auriculares-intraurales-samsung-ehs61asfwe-color-negro-_JM
MLA1437774203,Tablet Samsung Galaxy Tab A9+ 8gb Ram 128gb 11 PuLG Plata Color Plateado,973399.0,ARS,new,47,146480022,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1437774203-tablet-samsung-galaxy-tab-a9-8gb-ram-128gb-11-pulg-plata-color-plateado-_JM
MLA1452989995,Samsung Galaxy Buds 3 Auriculares Bluetooth Color Negro,316999,ARS,new,40,287440338,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1452989995-samsung-galaxy-buds-3-auriculares-bluetooth-color-negro-_JM
MLA1428071755,Auricular Compatible Samsung S20 S21 A33 A53 A54 Tipo C Color Blanco,5435,ARS,new,243,438008873,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1428071755-auricular-compatible-samsung-s20-s21-a33-a53-a54-tipo-c-color-blanco-_JM
MLA1524492802,Auriculares In-ear Samsung Tuned By Akg White,61999,ARS,new,75,1143772690,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1524492802-auriculares-in-ear-samsung-tuned-by-akg-white-_JM
MLA1400539735,Auriculares Deportivos Bluetooth Para Motorola Moto G52 Color Negro Color De La Luz Rojo,6330,ARS,new,140,352981908,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1400539735-auriculares-deportivos-bluetooth-para-motorola-moto-g52-color-negro-color-de-la-luz-rojo-_JM
MLA1918225248,Auriculares Tipo C Para Samsung A15 A25 A35 A55 Blanco,6999,ARS,new,80,77540700,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1918225248-auriculares-tipo-c-para-samsung-a15-a25-a35-a55-blanco-_JM
MLA1579015886,Auriculares Manos Libres Para Samsung Akg S10 S8 S9 ,13999,ARS,new,788,138396008,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1579015886-auriculares-manos-libres-para-samsung-akg-s10-s8-s9-_JM
MLA1440004451,Auricular Samsung Galaxy Buds3 Gray Color Sm- R530,359900.0,ARS,new,10,301908357,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1440004451-auricular-samsung-galaxy-buds3-gray-color-sm-r530-_JM
MLA1460058287,Auriculares Tipo C Para Samsung S21 S22 S23 S24 A35 A55,7899,ARS,new,38,84640737,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1460058287-auriculares-tipo-c-para-samsung-s21-s22-s23-s24-a35-a55-_JM
MLA1462640171,Audifonos Manos Libres Samsung Ia500 3.5mm Negro,22999,ARS,new,44,1143772690,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1462640171-audifonos-manos-libres-samsung-ia500-35mm-negro-_JM
MLA2000607950,Auricular Manos Libres Bluetooth Soul Tws 1000 C/ Microfono Color Blanco,15751,ARS,new,10,116021253,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-2000607950-auricular-manos-libres-bluetooth-soul-tws-1000-c-microfono-color-blanco-_JM
MLA1982821004,"Audifono Samsung Galaxy Buds Fe Sm-r400, Bluetooth Blanco Color White Color De La Luz Azul",129999,ARS,new,3,1473497418,No Reputation,Santa Fe,https://articulo.mercadolibre.com.ar/MLA-1982821004-audifono-samsung-galaxy-buds-fe-sm-r400-bluetooth-blanco-color-white-color-de-la-luz-azul-_JM
MLA1463971213,Pack X4 Unidades De Auriculares Para Samsung 100% Originales,33011,ARS,new,26,162278948,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1463971213-pack-x4-unidades-de-auriculares-para-samsung-100-originales-_JM
MLA1382030749,Auriculares Samsung Type-c Earphones,21193.22,ARS,new,241,172753273,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1382030749-auriculares-samsung-type-c-earphones-_JM
MLA1943143428,Auriculares Samsung Type-c Color Blanco,26803.19,ARS,new,73,452287402,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1943143428-auriculares-samsung-type-c-color-blanco-_JM
