item_id,title,price,currency_id,condition,available_quantity,seller_id,seller_reputation,location,url
MLA1771657248,Casco Moto Ls2 352 Rookie Negro + Spoiler Cuota Devotobikes,176239,ARS,new,92125,90743243,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1771657248-casco-moto-ls2-352-rookie-negro-spoiler-cuota-devotobikes-_JM
MLA1108983365,Casco Integral Moto Ls2 352 Rookie Solid Negro Mate,169460,ARS,new,1418,145640161,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1108983365-casco-integral-moto-ls2-352-rookie-solid-negro-mate-_JM
MLA1412293731,Casco Ls2 Rebatible 370 Stripe Doble Visor Fas Color Negro/rojo Tamaño Del Casco L,352800.0,ARS,new,28,44012389,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1412293731-casco-ls2-rebatible-370-stripe-doble-visor-fas-color-negrorojo-tamano-del-casco-l-_JM
MLA1734206362,Casco Ls2 352 Rookie Negro Mate Con Spoiler En Teo Motos,178370,ARS,new,152,349875216,No Reputation,Santa Fe,https://articulo.mercadolibre.com.ar/MLA-1734206362-casco-ls2-352-rookie-negro-mate-con-spoiler-en-teo-motos-_JM
MLA1364791813,Casco Para Moto Integral Ls2 Rookie Ff352 Negro Mate Matt Black Talle Xl,169460.0,ARS,new,62,89575112,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1364791813-casco-para-moto-integral-ls2-rookie-ff352-negro-mate-matt-black-talle-xl-_JM
MLA1423222998,Casco Para Moto Cross Ls2 Pioneer Mx436 Matt Black Solid Talle Xl,412580.0,ARS,new,21,89575112,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1423222998-casco-para-moto-cross-ls2-pioneer-mx436-matt-black-solid-talle-xl-_JM
MLA620734919,Casco Ls2 Ff 352 Rookie Mono Ff352 Punto Oficial Devotobikes,169460,ARS,new,100976,90743243,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-620734919-casco-ls2-ff-352-rookie-mono-ff352-punto-oficial-devotobikes-_JM
MLA1386406235,Casco Para Moto Integral Ls2 Ff353 Rapid Cromo Naranja/azul Color Azul Tamaño Del Casco L,192460,ARS,new,10,32968408,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1386406235-casco-para-moto-integral-ls2-ff353-rapid-cromo-naranjaazul-color-azul-tamano-del-casco-l-_JM
MLA1403326193,Casco Ls2 Scope Ff902 Hamr Red Robocop Articulado Color Negro/rojo Brillante Casco Talla 62,493808.0,ARS,new,6,44012389,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1403326193-casco-ls2-scope-ff902-hamr-red-robocop-articulado-color-negrorojo-brillante-casco-talla-62-_JM
MLA1414191417,Casco Ls2 Rookie 352 + Spoiler Graficas Nuevas Moto Delta,178940.0,ARS,new,476,44012389,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1414191417-casco-ls2-rookie-352-spoiler-graficas-nuevas-moto-delta-_JM
